Date,top_long,top_short,top_10_long,top_10_short,no_long,no_short,ctr_long,ctr_short
30/11/2020,0.487011604,-0.482552698,0.575280536,-0.580159475,80,68,-0.008103559,0.012279201
31/12/2020,2.104351598,-2.085082505,2.295405966,-2.286559203,115,118,0.020893992,-0.009067536
29/01/2021,2.214160132,-2.206690676,2.389568523,-2.417079957,147,91,0.131825202,-0.147894936
26/02/2021,2.295881193,-2.288475124,2.583474014,-2.583606896,84,85,0.123748561,-0.102073833
31/03/2021,1.519944353,-1.505630976,1.794382968,-1.7808365,61,68,0.11706135,-0.114722406
30/04/2021,0.304237785,-0.295453454,0.705635351,-0.751267425,70,70,0.062526292,-0.038311157
31/05/2021,0.119892289,-0.161109555,0.486228206,-0.501408043,72,55,0.020502575,-0.022364199
30/06/2021,0.1026816,-0.067665528,0.486972103,-0.361531952,51,54,0.018356178,-0.029696232
30/07/2021,0.126985192,-0.104293402,0.52730063,-0.442493988,42,36,0.017803681,-0.017683353
31/08/2021,0.153948422,-0.156118538,0.788140418,-0.883413255,41,25,0.032676453,-0.027860515
